AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC_SEQ_ID2,AIRPORT_WAC,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_SEQ_ID,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC_SEQ_ID2,CITY_MARKET_WAC,LAT_DEGREES,LAT_HEMISPHERE,LAT_MINUTES,LAT_SECONDS,LATITUDE,LON_DEGREES,LON_HEMISPHERE,LON_MINUTES,LON_SECONDS,LONGITUDE,UTC_LOCAL_TIME_VARIATION,AIRPORT_START_DATE,AIRPORT_THRU_DATE,AIRPORT_IS_CLOSED,AIRPORT_IS_LATEST
1251101,12511,JLN,Joplin Municipal,"Joplin, MO",6401,64,United States,US,Missouri,MO,29.0,3251101,32511,"Joplin, MO",6401,64,37.0,N,8.0,59.0,37.14972222,94.0,W,29.0,52.0,-94.49777778,-600.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1251901,12519,JMS,Jamestown Regional,"Jamestown, ND",6601,66,United States,US,North Dakota,ND,38.0,3251901,32519,"Jamestown, ND",6601,66,46.0,N,55.0,48.0,46.93,98.0,W,40.0,42.0,-98.67833333,-600.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1252301,12523,JNU,Juneau International,"Juneau, AK",101,1,United States,US,Alaska,AK,2.0,3252301,32523,"Juneau, AK",101,1,58.0,N,21.0,20.0,58.35555556,134.0,W,34.0,29.0,-134.57472222,-900.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1254401,12544,JQF,Concord Regional,"Concord, NC",3601,36,United States,US,North Carolina,NC,37.0,3254401,32544,"Cabarrus, NC",3601,36,35.0,N,23.0,7.0,35.38527778,80.0,W,42.0,35.0,-80.70972222,-500.0,6/1/2001 12:00:00 AM,6/30/2011 12:00:00 AM,1,0
1255901,12559,JST,Johnstown Cambria County,"Johnstown, PA",2301,23,United States,US,Pennsylvania,PA,42.0,3255901,32559,"Johnstown, PA",2301,23,40.0,N,19.0,0.0,40.31666667,78.0,W,50.0,4.0,-78.83444444,-500.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1275801,12758,KOA,Keahole,"Kona, HI",201,2,United States,US,Hawaii,HI,15.0,3275801,32758,"Kona, HI",201,2,19.0,N,44.0,20.0,19.73888889,156.0,W,2.0,44.0,-156.04555556,-1000.0,1/1/1950 12:00:00 AM,3/31/1993 12:00:00 AM,0,0
1281901,12819,KTN,Ketchikan International,"Ketchikan, AK",101,1,United States,US,Alaska,AK,2.0,3140101,31401,"Ketchikan, AK",101,1,55.0,N,21.0,30.0,55.35833333,131.0,W,43.0,0.0,-131.71666667,-900.0,8/1/1973 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1288401,12884,LAN,Capital City,"Lansing, MI",4301,43,United States,US,Michigan,MI,26.0,3288401,32884,"Lansing, MI",4301,43,42.0,N,46.0,45.0,42.77916667,84.0,W,35.0,18.0,-84.58833333,-500.0,1/1/1950 12:00:00 AM,12/31/2008 12:00:00 AM,0,0
1288801,12888,LAR,General Brees Field,"Laramie, WY",8801,88,United States,US,Wyoming,WY,56.0,3288801,32888,"Laramie, WY",8801,88,41.0,N,18.0,49.0,41.31361111,105.0,W,40.0,23.0,-105.67305556,-700.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1288901,12889,LAS,McCarran International,"Las Vegas, NV",8501,85,United States,US,Nevada,NV,32.0,3221101,32211,"Las Vegas, NV",8501,85,36.0,N,4.0,48.0,36.08,115.0,W,9.0,8.0,-115.15222222,-800.0,1/1/1950 12:00:00 AM,12/31/1989 12:00:00 AM,0,0
1289101,12891,LAW,Lawton-Fort Sill Regional,"Lawton/Fort Sill, OK",7301,73,United States,US,Oklahoma,OK,40.0,3289101,32891,"Lawton/Fort Sill, OK",7301,73,34.0,N,34.0,11.0,34.56972222,98.0,W,24.0,58.0,-98.41611111,-600.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1289201,12892,LAX,Los Angeles International,"Los Angeles, CA",9101,91,United States,US,California,CA,6.0,3257501,32575,"Los Angeles, CA (Metropolitan Area)",9101,91,33.0,N,56.0,33.0,33.9425,118.0,W,24.0,29.0,-118.40805556,-800.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1289601,12896,LBB,Lubbock Regional,"Lubbock, TX",7401,74,United States,US,Texas,TX,48.0,3289601,32896,"Lubbock, TX",7401,74,33.0,N,39.0,44.0,33.66222222,101.0,W,49.0,22.0,-101.82277778,-600.0,1/1/1950 12:00:00 AM,11/30/1991 12:00:00 AM,0,0
1289801,12898,LBE,Latrobe Airport,"Latrobe, PA",2301,23,United States,US,Pennsylvania,PA,42.0,3289801,32898,"Latrobe, PA",2301,23,40.0,N,16.0,35.0,40.27638889,79.0,W,24.0,10.0,-79.40277778,-500.0,12/1/1976 12:00:00 AM,1/31/2003 12:00:00 AM,0,0
1289901,12899,LBF,North Platte Regional Airport Lee Bird Field,"North Platte, NE",6501,65,United States,US,Nebraska,NE,31.0,3289901,32899,"North Platte, NE",6501,65,41.0,N,7.0,42.0,41.12833333,100.0,W,41.0,48.0,-100.69666667,-600.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1290201,12902,LBL,Liberal Municipal,"Liberal, KS",6201,62,United States,US,Kansas,KS,20.0,3290201,32902,"Liberal, KS",6201,62,37.0,N,2.0,40.0,37.04444444,100.0,W,57.0,38.0,-100.96055556,-600.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1291501,12915,LCH,Lake Charles Regional,"Lake Charles, LA",7201,72,United States,US,Louisiana,LA,22.0,3120501,31205,"Lake Charles, LA",7201,72,30.0,N,7.0,52.0,30.13111111,93.0,W,13.0,32.0,-93.22555556,-600.0,1/1/1950 12:00:00 AM,12/31/1990 12:00:00 AM,0,0
1291701,12917,LCK,Lockbourne AFB,"Columbus, OH",4401,44,United States,US,Ohio,OH,39.0,3106601,31066,"Columbus, OH",4401,44,39.0,N,48.0,51.0,39.81416667,82.0,W,55.0,56.0,-82.93222222,-500.0,3/1/1977 12:00:00 AM,12/31/1997 12:00:00 AM,0,0
1294501,12945,LEX,Blue Grass,"Lexington, KY",5201,52,United States,US,Kentucky,KY,21.0,3294501,32945,"Lexington, KY",5201,52,38.0,N,2.0,23.0,38.03972222,84.0,W,36.0,8.0,-84.60222222,-500.0,1/1/1950 12:00:00 AM,2/28/2001 12:00:00 AM,0,0
1295101,12951,LFT,Lafayette Regional,"Lafayette, LA",7201,72,United States,US,Louisiana,LA,22.0,3295101,32951,"Lafayette, LA",7201,72,30.0,N,12.0,17.0,30.20472222,91.0,W,59.0,15.0,-91.9875,-600.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1295301,12953,LGA,LaGuardia,"New York, NY",2201,22,United States,US,New York,NY,36.0,3170301,31703,"New York City, NY (Metropolitan Area)",2201,22,40.0,N,46.0,46.0,40.77944444,73.0,W,52.0,33.0,-73.87583333,-500.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1295401,12954,LGB,Long Beach Daugherty Field,"Long Beach, CA",9101,91,United States,US,California,CA,6.0,3257501,32575,"Los Angeles, CA (Metropolitan Area)",9101,91,33.0,N,49.0,3.0,33.8175,118.0,W,9.0,4.0,-118.15111111,-800.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1298201,12982,LIH,Lihue Airport,"Lihue, HI",201,2,United States,US,Hawaii,HI,15.0,3298201,32982,"Lihue, HI",201,2,21.0,N,58.0,45.0,21.97916667,159.0,W,20.0,45.0,-159.34583333,-1000.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1299201,12992,LIT,Adams Field,"Little Rock, AR",7101,71,United States,US,Arkansas,AR,5.0,3260001,32600,"Little Rock, AR",7101,71,34.0,N,43.0,45.0,34.72916667,92.0,W,14.0,4.0,-92.23444444,-600.0,1/1/1950 12:00:00 AM,11/30/1995 12:00:00 AM,0,0
1302901,13029,LNK,Lincoln Airport,"Lincoln, NE",6501,65,United States,US,Nebraska,NE,31.0,3302901,33029,"Lincoln, NE",6501,65,40.0,N,51.0,3.0,40.85083333,96.0,W,45.0,32.0,-96.75888889,-600.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1303401,13034,LNY,Lanai Airport,"Lanai, HI",201,2,United States,US,Hawaii,HI,15.0,3303401,33034,"Lanai, HI",201,2,20.0,N,47.0,5.0,20.78472222,156.0,W,56.0,58.0,-156.94944444,-1000.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1306101,13061,LRD,Laredo AFB,"Laredo, TX",7401,74,United States,US,Texas,TX,48.0,3303801,33038,"Laredo, TX",7401,74,27.0,N,32.0,41.0,27.54472222,99.0,W,27.0,40.0,-99.46111111,-600.0,1/1/1950 12:00:00 AM,12/31/1973 12:00:00 AM,0,0
1307601,13076,LSE,La Crosse Municipal,"La Crosse, WI",4501,45,United States,US,Wisconsin,WI,55.0,3307601,33076,"La Crosse, WI",4501,45,43.0,N,52.0,38.0,43.87722222,91.0,W,15.0,23.0,-91.25638889,-600.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1312101,13121,LWB,Greenbrier Valley,"Lewisburg, WV",3901,39,United States,US,West Virginia,WV,54.0,3312101,33121,"Lewisburg, WV",3901,39,37.0,N,51.0,35.0,37.85972222,80.0,W,23.0,55.0,-80.39861111,-500.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1312701,13127,LWS,Lewiston Nez Perce County,"Lewiston, ID",8301,83,United States,US,Idaho,ID,16.0,3312701,33127,"Lewiston, ID",8301,83,46.0,N,22.0,29.0,46.37472222,117.0,W,0.0,52.0,-117.01444444,-800.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
